misconception_id,misconception,tweet,tweet_id,label
12,Methanol consumption cures or protects against coronavirus.,Broad-spectrum antiviral GS-5734 inhibits both epidemic and zoonotic coronaviruses,1233917375361306624,na
8,Vitamin C can prevent coronavirus circulation.,President Trump's Tips to Avoid Coronavirus via,1233919372584013824,na
38,Shaking hands cannot spread coronavirus.,Say No to Chinese products this Holi. And save our country's economy. Corona epidemic is also a gift from China. So do resolve this Holi to #AdoptVedicHoliPreventCorona outbreaks in India.,1233977686067949568,na
47,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,"So a youngish man returned from Japan with symptoms of COVID-19, but the CDC wouldn't test him. The hospital told him he could take public transportation home. This doesn't end well if that is the medical / govt response. Help!",1233949799499563008,na
23,SARS-CoV-2 can survive for weeks on surfaces.,"Looks like COVID-19 could have been spreading in the US for a lot longer than anticipated, but was not picked up because of criteria for risk and testing",1233977684587208704,na
5,The first person infected is a researcher named Huang Yanling.,The coronavirus is actually a result of an accidental leak of bioweapons that were being developed by the Communist Party of China,1233943531292512256,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,"nah. A biological warfare agent would kill 99% of its victims, not 2% like the corona virus. This is a naturally occurring virus.",1233931758527107072,neg
9,Africans are more resistant to coronavirus.,"Statistically, you are more likely to be killed by  than by the Wuhan #coronavirus.",1233935746735710208,na
15,Coronavirus can only survive in cold temperatures.,"9 days is for a related corona virus, not Covid-19, under IDEAL conditions. From memory, 40 F, high humidity and no sunlight. But hours is apparently quite possible.",1233926869684191232,na
8,Vitamin C can prevent coronavirus circulation.,Afghanistan: Imams say Qur'an verses worn on clothes can prevent coronavirus,1233929808175865856,na
33,Eating cabbage prevents coronavirus infection.,"France bans gatherings, frowns on kissing, to fight coronavirus",1233917897594036224,na
50,It is safe for individuals infected with COVID-19 to go to work.,"“For the general American public, who are unlikely to be exposed to this virus at this time, the immediate health risk from COVID-19 is considered low.” CDC on #Coronavirus 😷👇🏾",1233931831063597056,na
24,Coronavirus is cured by shuanghuanglian.,". 
 Dug up this report on exquisite killing of SARS by indomethacin. Since SARS 80% gentically identical to #Wuhan #coronavirus #Covid2019, wonder if it would have effect on new virus also? Dirt cheap, widely available/used. Low risk. Thoughts?",1233987155178983424,na
39,Salt water protects from coronavirus.,"rednecks are immune from coronavirus, it can't handle the taste of a bud light",1233923349740429312,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,"well just learned it was fake! y’all are stupid. anyway check for coronavirus by holding your breath for 10 secs, if you don’t feel any tightness or start coughing you’re good. remember to always always wash your hands whenever possible and be alert",1233947334335029248,pos
40,Cannabis protects against COVID-19.,Coronavirus: quarantine recommended for pets of Hongkongers with Covid-19 as Pomeranian tests positive a second,1233914094979293184,na
12,Methanol consumption cures or protects against coronavirus.,Can Lysol and Clorox products kill the novel coronavirus? The answer is ...,1233950193902608384,na
23,SARS-CoV-2 can survive for weeks on surfaces.,"here’s to hoping my kids have been bringing home some garden variety coronaviruses over the last few years.
👧🏼🦠🤧🛡

Remarkable Age Distribution of OC43 vs. SARS-CoV-2 in China - Virological",1233922612956475392,na
3,Coronavirus is genetically engineered.,"BiologistDan: SuoloSaint Never bad to ask. The COVID-19 ""coronavirus"" is specific for respiratory cells. There is no known vaginal infestation.",1233947626594357248,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,"As fears over #coronavirus grow, CVS cautioned customers that temporary shortages of hand sanitizing products could occur.",1233970016690806784,na
61,Lions were freed to keep people off the streets in Moscow.,Not sure who you’re referring to.  Who is going to end up on the street?  Maybe you mean the homeless living in filth in Pelosi and Schiff’s districts. Infected people are encouraged not go out. Epic fail  connecting coronavirus to capitalism.,1233947272158773248,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,"All weapons around the ring will somehow be related to the Four Horsemen of the Apocalypse, don’t ask how.

#Pestilence will make an appearance in the form of a spray bottle FULL of wet Covid-19 coughs.

Seemed topical",1233924466398203904,na
17,Avocado and mint tea cures coronavirus.,Again where are the medical studies?  Not talking about naturopaths  or chiropractors who peddle vitamins.   It’s completely irresponsible  for the OP to tell people with coronavirus to take vitamin C and eat soup to “cure” it.  🤦🏻‍♀️,1233972506672820224,na
50,It is safe for individuals infected with COVID-19 to go to work.,"…
How can you prevent the spread of COVID-19?

Prevention starts with practicing good personal health habits: Wash your hands often with soap and water,

Stay home when you’re sick,

Cover your coughs and sneezes with a tissue,

Clean frequently touched surfaces and objects.

…",1233931429353910272,neg
25,Holy communion cannot be the cause of the spread of coronavirus,"In response to concerns expressed by the faithful regarding the potential spread of the #coronavirus, the Archdiocese of Galveston-Houston is suspending the distribution of Holy Communion.",1233950084569731072,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,Assume everyone you encounter has coronavirus even if they have no symptoms. Take no chances.,1233909971936350208,na
18,Essential oils cure coronavirus.,"How to prevent corona virus??? Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc ?? #AdoptVedicHoliPreventCorona",1233983315343888384,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,Italy: Institutional closures extended as COVID-19 cases rise over 1000 February 29 /update,1233951541385715712,na
38,Shaking hands cannot spread coronavirus.,The blood of Jesus is against coronavirus in Jesus name.,1233926530423775232,na
30,Blowing conch shells destroys coronavirus potency.,Kim Jong Un Threatens To Execute Politburo Members If They Fail To Contain Coronavirus Outbreak,1233914276433272832,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,"Good news!

Studies and scientific models show that people who already have TDS are the most susceptible to the effects of the #coronavirus.  

The models predict that they will have a very high non-recovery rate because they have no clue how to take care of themselves.",1233972149557194752,na
3,Coronavirus is genetically engineered.,".Don’t forget Epstein didn’t kill himself....

And don’t forget the Coronavirus was created in a lab in Wuhan.

And now it’s being used as a bio-weapon to remove / murder the Chinese protestors, create a demand for a new vaccine ($), &amp; manufacture public fear to hurt the economy",1233942494577979392,pos
43,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,"Part true; however, just because it's the same type of virus doesn't mean it has the same virulence. MERS was a Coronavirus and had a mortality rate of 34+% COVID-19 is more deadly than the flu, and we have no vaccine, no known treatment, &amp; no herd immunity. Not to trifle with.",1233981832078729216,na
17,Avocado and mint tea cures coronavirus.,"How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona",1233982657089794048,na
42,Vitamin D pills prevent COVID-19.,Serious medical question: Do masks work to stop the spread of Covid-19?,1233927894197571584,na
3,Coronavirus is genetically engineered.,Coronavirus has gone airborne,1233905851951460352,na
20,Vitamin D cures coronavirus.,"15. Disoproxil and Dolutegravir and hepatitis C therapeutic drugs including Boceprevir and Telaprevir,"" according to Li's study.

The conclusion is in line with several reports from doctors who self-administered HIV drugs after testing positive for coronavirus,",1233922454570983424,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,Statistically speaking - you are more likely to die from being exposed to the Clintons than you are by being exposed to the corona virus.,1233941086696960000,na
17,Avocado and mint tea cures coronavirus.,"WHAT ABOUT THE ILLEGALS ENTERING W/ NO MEDICAL EXAM!THEY SLREADY BROUGH SICKNESS LIKE VENEREAS TUBERCULOSIS., CHICKEN pox Rubeola, mumps,POLIO and more! S@D DE@OCRATS ARE OK W/THAT! ILLEGALS R MORE DANGEROUS THAN THE CORONA VIRUS! WAKE UP AMERICA / ANOTHER DEMOCRAT DISTRACTION",1233972943048335360,na
13,Whiskey and honey cure coronavirus.,A man being treated for coronavirus after being quarantined aboard the Diamond Princess cruise ship has died in Australia,1233985709800747008,na
46,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,"Still hasn't mutated beyond original virus China has been dealing with. Quit WORRYING people. 

SARS, MERS and even the common cold is a part of the coronavirus family.

100 dead in FL from flu, 1 elderly person dead in US froM COVID-19. Look at what a Lysol Wipe helps kill.",1233941827566395392,na
24,Coronavirus is cured by shuanghuanglian.,"#Wuhan #Coronavirus #Symptoms #virus 
1. If you have a runny nose and sputum, you have a common cold
2. Coronavirus pneumonia is a dry cough with no runny nose.
3. This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.
..",1233908389786177536,na
36,Chloroquine can cure coronavirus,"""Illinois has had two previously confirmed cases of COVID-19 and both patients made a full recovery.""",1233954020957589504,na
38,Shaking hands cannot spread coronavirus.,"Hand washing &amp; drying after every action is vital, no physical greetings, no group meetings, N95 masks, gloves, eye protection, sanitizer gel, excellent house hygiene to clean surfaces ( especially toilets) Any symptoms, self - isolate.",1233991257459961856,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,"Australia now has COVID-19 fatality.

- a 70 year old man from Perth.

- he was a passenger on the ill fated Diamond Princess

- his wife who was with him on the cruise is critically with the virus.",1233957668504555520,na
3,Coronavirus is genetically engineered.,Husband thinks the coronavirus was created by the Chinese military as a biological weapon and it accidently got out of the lab. He says he read this in one of the secret newsletters he gets. What do I do with this information? What do I do WITH HIM?,1233920787440177152,neg
18,Essential oils cure coronavirus.,"Hangover is being mistaken for a corona virus, menudo and a Gatorade will clear you up haha",1233911469332287488,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,"Whether it's warm weather or COVID-19 to blame, natural gas inventories bloom sending prices to historic",1233942533501341696,na
25,Holy communion cannot be the cause of the spread of coronavirus,"Roman Catholic authorities in #Jerusalem have instructed their priests to give communion by hand only, rather than placing the wafers on worshippers’ tongues, as precautions against the spread of the #coronavirus.

#COVID_19",1233975650836504576,na
33,Eating cabbage prevents coronavirus infection.,45-day-old baby infected with new coronavirus in S. Korea,1233956823625084928,na
30,Blowing conch shells destroys coronavirus potency.,World is facing the risk of coronavirus pandemic. It's very important to take precautions to prevent it. Asharamji Bapu has many times explained that burning cowdung cakes purifies atmosphere &amp; kills harmful germs. Let's #AdoptVedicHoliPreventCorona .,1233992361858019328,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,"A Corona virus is not the same as an influenza virus. There was no “discovery,” there is an epidemic. You should be telling people to cover their mouths when they cough and wash their hands instead of spreading dangerous misinformation.",1233989061980721152,na
48,There will be 500 deaths at the end of the pandemic.,"""… multiply my situation by 27.5 million, you [get] a country full of people who won’t see a doctor unless they’re extremely sick. … when you combine a for-profit healthcare system …with a global pandemic, the only outcome will be unmitigated disaster.""",1233933117167198208,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,"They couldn't handle putting toothpaste onto a tooth brush. Or crossing guard duty at a stop sign. Or putting toys into a toy box. 

More importantly, they can't handle reality. 

Coronavirus is reality. Cold, hard reality that takes leadership. 

#CoronaVirusUpdate #COVID19US",1233949573640376320,na
37,Jamaat cannot become a source of infection.,"With no reported deaths in 96 cases and a slowing rate of infection, Singapore has become as a test of whether coronavirus can be contained or neutralized via",1233909261668761600,na
55,Drinking Corona-brand beer causes COVID-19.,"That is untrue. Body have immune response, that's why a vaccine will work on it. It acts and can be treated like a severe case of flu.
""overall clinical consequences of Covid-19 may ultimately be more akin to those of a severe seasonal",1233985635066744832,na
39,Salt water protects from coronavirus.,Quarantine for Coronavirus Has Serious Side Effects – Bloomberg,1233914008928911360,na
15,Coronavirus can only survive in cold temperatures.,Frequent swimming in the beach will kill the corona virus ..It cannot survive the salty water plus the 30 C degree heat..,1233979594618724352,pos
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,"Huh? I didn't say that.

""At the start of an outbreak, the apparent mortality rate can be an overestimate if a lot of mild cases are being missed. But this week, a WHO expert suggested that this has not been the case with",1233969413059035136,na
30,Blowing conch shells destroys coronavirus potency.,"idea: a rap song called ""wash yo hands"" promoting how to wash hands, ends up being super cringy and meme'd, and that further promotes how to wash hands correctly. coronavirus infection rate thus decreases",1233920011569451008,na
12,Methanol consumption cures or protects against coronavirus.,Can Lysol and Clorox products kill the novel coronavirus? The answer is ...,1233951137859981312,na
33,Eating cabbage prevents coronavirus infection.,Self-quarantine may provide option to slow spread of Check out,1233905061438337024,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,"#Hanoi has seen a huge drop in tourist numbers in 2020,  primarily driven by the #coronavirus outbreak #Vietnam  #Vietnamtourism",1233938030542704640,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"I don't want that crap in me either, but maybe they're using this whole ""outbreak"" to break the idea into the scene. And maybe they'll advertise the ""answer"" to the ""pandemic"" is a tech-biology interface too. 

We are free to refuse. This is downright biblical, mark of the beast.",1233987920563884032,na
15,Coronavirus can only survive in cold temperatures.,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines –",1233994409341018112,na
8,Vitamin C can prevent coronavirus circulation.,"If you already have the coronavirus, wearing a mask can limit the spread of contamination to others, which is why I said little. If you are not sick, the mask will provide ZERO protection. You would need a mask with a respirator.",1233972417720180736,na
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown","The thread you posted is not a ""bombshell"". Wuhan, other provinces, and SAR's of China were already taking action to isolate and treat the patients and issuing public safety warnings even before it was identified as COVID-19. Read the article",1233994369306251264,na
15,Coronavirus can only survive in cold temperatures.,"Coronavirus underperfoms it's xD vs younger people, but compensates in the elderly.",1233931082095042560,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",Klein ISD introduced a new cleaning device at the start of the school year. District officials believe it helps them prevent the spread of infectious diseases like the coronavirus.,1233953376062332928,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,"Ambroxol is a 30 year old generic cold/flu OTC remedy, sold for $9 in the UK that could mitigate coronavirus.

Study: Ambroxol for the prevention of acute upper respiratory disease
Conclusion: Helps prevent catching respiratory flu at 45 mg per",1233984057941184512,na
55,Drinking Corona-brand beer causes COVID-19.,"Everyone suggesting prayer and healing can cure Covid-19 should avoid vaccines and modern medicine and leave more for the rest of us instead.

How idiotic.",1233959569858056192,na
30,Blowing conch shells destroys coronavirus potency.,Democrats' disgraceful dissembling only increases coronavirus threat,1233924322424709120,na
36,Chloroquine can cure coronavirus,"#covid-19 Another hope for drug. 
@USERNAME  should keep tab on this study
Chloroquine shown efficacy against COVID-19 associated pneumonia in clinical studies",1233975282912022528,na
50,It is safe for individuals infected with COVID-19 to go to work.,"ต้นฉบับENG

There exists a misunderstanding that COVID-19 is a self-limited disease, so it does not require treatment, which is wrong,"" he said, calling on people to go to hospitals once infected with the virus to avoid the risk of deterioration and further spread of the disease.",1233955445233971200,na
3,Coronavirus is genetically engineered.,That is gauging. The test is the exact same test as for the flu with a process cost of about .62 cents per. Coronavirus is spore based.,1233938118836879360,na
7,Boiled ginger can cure coronavirus.,"CDC recommends drinking Dos Equis to avoid Coronavirus.
Thats 2 XXs to Mericans. Helps avoid the Tecate Virus as well. Don't forget the lime!",1233993330977124352,na
38,Shaking hands cannot spread coronavirus.,Say No to Chinese products this Holi. And save our country's economy. Corona epidemic is also a gift from China. So do resolve this Holi to #AdoptVedicHoliPreventCorona outbreaks in India.,1233955109177921536,na
7,Boiled ginger can cure coronavirus.,Just bought corn from a guy in front of my house. The mayo looked questionable so I got hot pepper on top cuz it will kill the coronavirus. Right? I’m smart.,1233924552763142144,na
30,Blowing conch shells destroys coronavirus potency.,Corona beer causes coronavirus? Wtf!,1233987082848284672,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,"“current estimates of a roughly 1% fatality rate are accurate. This would make Covid-19 more deadly than seasonal flu, which is estimated to kill between 290,000 and 650,000 people a year globally.”",1233919882510700544,na
41,CBD oil is a cure for COVID-19.,NIH clinical trial of remdesivir to treat COVID-19 begins,1233974163813085184,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,"Right. Aside from the fact that 2% fatality is AWFUL given how easily transmissible COVID-19 is, 15-20% requiring hospitalization is just... do the people supposedly leading the response think there are that many available fully staffed hospital beds?",1233913167501094912,na
48,There will be 500 deaths at the end of the pandemic.,"#COVIDー19 worries are starting to spread in #America, as seen in the markets. Know the potential impact of the possible",1233939011674218496,na
18,Essential oils cure coronavirus.,"Respectfully 1918 is quite different than 2020. I’m surprised you aren’t discussing more natural preventives to the coronavirus. There are many ways to avoid getting sick like taking megadoses of Vitamin C,A and liver. You know this Dr Savage. Why aren’t you talking about it?",1233971703274856448,na
12,Methanol consumption cures or protects against coronavirus.,Can Lysol and Clorox products kill the novel coronavirus? The answer is ...,1233950777997250560,na
40,Cannabis protects against COVID-19.,Yeah the fever is a primary indicator. I am talking about the serology test for COVID-19 for actual confirmation. It's free in other countries. I am wondering about the US.,1233952104030654464,na
9,Africans are more resistant to coronavirus.,There are now more new cases of the coronavirus reported each day outside China than inside the hardest hit country the world health organization said,1233980589549723648,na
25,Holy communion cannot be the cause of the spread of coronavirus,"Alhamdulillah for Islam, where hygiene is also a mark of your faith❤",1233975076019531776,na
38,Shaking hands cannot spread coronavirus.,Yes 2.  That doesn’t mean everyone with symptoms have coronavirus. They may or may not.  The word outbreak is deceiving since they have not tested positive yet.  There can be one more than one illness going around a nursing home at a time.,1233924072695832576,na
36,Chloroquine can cure coronavirus,How NOT to transport a Covid-19 patient. All these people are now at risk.,1233910690970247168,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,"#France bans all gatherings of more than 5,000 people as first person dies of COVID-19 in US. #coronavirus",1233917840215945216,na
23,SARS-CoV-2 can survive for weeks on surfaces.,So the Coronavirus can remain alive on surface areas for up to few days ! 😳😳🤔😷,1233981797169606656,pos
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,People think this 1981 horror novel predicted the coronavirus outbreak,1233967783215542272,pos
40,Cannabis protects against COVID-19.,Who is vulnerable to coronavirus? So far children appear safe from COVID-19 via,1233930154910474240,na
13,Whiskey and honey cure coronavirus.,A 78-year-old man is the first person in Australia to die from,1233987688937795584,na
38,Shaking hands cannot spread coronavirus.,"Though hand washing is essential, a mask may become necessary depending on where you are... I would secure one in case you have a large outbreak in your local community. Once, if that happens, it will be impossible to get, also pick up a pack of gloves, and disinfectant for home.",1233960737980071936,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,"West Coast politician policies have left their public exposed to human waste filth and bacteria that have brought back third world diseases, their immune systems are probably easier for Corona to wreak havoc on.",1233938435397869568,na
21,Fennel tea cures coronavirus.,"St David's Day ewes - Dragons, daffodils and leeks, Coronavirus, Seniors, Minis and Mums",1233936587433631744,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,"#COVID19: #Australia reports its first novel #coronavirus death, a 78-year-old man repatriated from the #DiamondPrincess ship. The man's wife is also infected, but remains in a stable condition.",1233973552908554240,na
13,Whiskey and honey cure coronavirus.,BREAKING: A West Australian man has become the first person to die of coronavirus in Australia. #7NEWS,1233922909871038464,na
42,Vitamin D pills prevent COVID-19.,"Coronavirus in Nigeria: Dr Osundare says Covid-19 has no cure, reveal ways to prevent disease",1233935092948652032,na
10,Coronavirus is caused by 5G.,"Coronavirus poses 'very high' global risk, the WHO warns",1233905575005753344,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,"Since the Coronavirus started in China, with whatever they do with animals over there and hid the severity of this disease, the government of China should be sued in the World Court for their complacency. People effected should be able to recover their expenses",1233922035136548864,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,This is untrue. Hand sanitizer will absolutely kill the covid-19  virus.,1233934052937175040,neg
46,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,"NBC:Hlth officials in Wa. said 27 patients &amp; 25 staff members have symptoms associated w/COVID-19
The Life Care Center of Kirkland said that new patients &amp;visitors being turned away &amp; patients &amp; staff w/symptoms or potentially exposed are quarantined",1233961336654176256,na
41,CBD oil is a cure for COVID-19.,"Scientists say a cutting-edge but untested new drug, first developed to beat Ebola, shows the best promise in the fight against COVID-19",1233916644877111296,na
36,Chloroquine can cure coronavirus,"“Some patients infected with COVID-19 are currently being treated with a variety of anti-viral drugs, some with a price tag upwards of $1,000 per injection, Mbikay says.

Quercetin, by comparison, would cost just $2 per day.”",1233943209769762816,na
21,Fennel tea cures coronavirus.,"How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona",1233963815680823296,na
38,Shaking hands cannot spread coronavirus.,I believe scientists should do a research of childrenDNA to find a cure from younger ages to kil coronavirus DNA . This can be analyzed to invente the drug from their human genetic acts because this virus is entering the human cells to weakness munsystem for the elderly people’s.,1233939483541766144,na
15,Coronavirus can only survive in cold temperatures.,"Coronavirus: is a novel virus named for the crownlike spikes that protrude from its surface, can infect both animals and people and can cause a range of respiratory illnesses from the common cold to more dangerous conditions like Severe Acute Respiratory Syndrome, or SARS.",1233981771374526464,na
21,Fennel tea cures coronavirus.,"Today my fam went to an Elizabeth Warren rally. Tomorrow we are going to Monster Jam. 

Gonna treat the whiplash with the neck braces I picked up stockpiling for coronavirus. 

A little activism, a little diesel. Even worked in Mexican food and ice cream.

Well-rounded weekend.",1233952443483992064,na
12,Methanol consumption cures or protects against coronavirus.,The answer to whether or not household disinfectants like Lysol and Clorox can protect against the coronavirus is complicated.​,1233951518761639936,na
50,It is safe for individuals infected with COVID-19 to go to work.,"CDC does not recommend that people who are well wear a facemask to protect themselves from respiratory diseases, including COVID-19.",1233940466963320832,na
62,Bank of England £20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,"The governor of Washington declared a state of emergency Saturday after a man died there of COVID-19, the first such reported death in the United States. More than 50 people in a nursing facility are sick and being tested for the virus.",1233906510348025856,na
46,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,Sad news out of Washington today with the first U.S. death to COVID-19.,1233907641132474368,na
49,We're very close to a vaccine.,"Just like the Spanish Flu, the #Coronavirus will spread due to Government cover-ups and incompetence. If there was more testing and quarantining now we would have a better chance of containment until a vaccine is available.",1233945522471395328,na
62,Bank of England £20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,"Still hasn't mutated beyond original virus China has been dealing with. Quit WORRYING people. 

SARS, MERS and even the common cold is a part of the coronavirus family.

100 dead in FL from flu, 1 elderly person dead in US froM COVID-19. Look at what a Lysol Wipe helps kill.",1233941827566395392,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,Sen Sonny Angara calls on DOLE to conduct a survey of sectors where jobs are being lost due to COVID-19.,1233952315729514496,na
61,Lions were freed to keep people off the streets in Moscow.,"Don’t know why we’re all laughing at Americans for not wanting to drink Corona beer.

People in Australia randomly killed sting rays after Steve Irwin died.",1233958454760374272,na
3,Coronavirus is genetically engineered.,IS the Coronavirus is a bioweapon that can be activated at will and used to target and threaten governments?,1233915043374411776,na
43,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,Trend up+339: *Huh K* et al (Infect Chemother) __Emergent Strategies for the Next Phase of,1233917556399931392,na
29,Clapping will kill coronavirus.,My inability to use a pen without putting it in my mouth is going to be what ends up infecting me with the coronavirus I just know it,1233935362919026688,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,That's not technically true. The virus that causes COVID-19 is SARS-CoV-2. The name of the disease remains Novel (new) Coronavirus ( a family of viruses that includes SARS but also harmless microbes) 2019 ( year of emergence),1233925723863171072,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Contagions, pandemics, and plagues, oh my!

From Boccaccio’s “The Decameron” to Camus’s “The Plague”, mass illness has a unique way of infiltrating the works of great writers. How will the #coronavirus be preserved in the books?",1233942689390809088,na
12,Methanol consumption cures or protects against coronavirus.,"Imagine thinking that a drink that's meant to keep you hydrated when exercising, can help treat the Coronavirus. A couple did that, and they their own story on The Washington Post.

Why am I not surprised? No really, someone tell why am I not surprised.",1233907264643325952,na
51,COVID-19 is only as deadly as the seasonal flu.,"“Most people (not elderly, no underlying health conditions) will NOT become critically ill from Covid-19. But it has higher chance of leading to serious respiratory symptoms than seasonal flu "" …”",1233920123183828992,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,Do Cleaning Products and Sanitizers Prevent Coronavirus? | Time,1233987834123415552,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.","No, we banned air travel from China in January &amp; recently from Iran so they aren't  coming by plane. But our border patrol recently stopped 3 people from China trying to cross our southern border who were sick. They were quarantined.",1233941183359062016,na
